iter	Passed	Remaining
414	3077	4338
415	3083	4328
416	3089	4319
417	3095	4309
418	3101	4300
419	3107	4290
420	3113	4281
421	3119	4272
422	3126	4264
423	3131	4254
424	3137	4244
425	3144	4237
426	3152	4229
427	3159	4221
428	3165	4213
429	3170	4203
430	3176	4193
431	3181	4183
432	3188	4175
433	3194	4166
434	3200	4157
435	3206	4148
436	3213	4139
437	3219	4130
438	3227	4124
439	3235	4117
440	3244	4112
441	3252	4106
442	3259	4098
443	3267	4092
444	3274	4084
445	3283	4079
446	3291	4072
447	3299	4065
448	3306	4058
449	3316	4053
450	3325	4048
451	3332	4040
452	3340	4033
453	3347	4026
454	3357	4021
455	3366	4015
456	3374	4009
457	3381	4001
458	3390	3996
459	3399	3990
460	3405	3982
461	3412	3973
462	3418	3965
463	3424	3956
464	3431	3947
465	3436	3938
466	3443	3929
467	3448	3920
468	3455	3911
469	3461	3903
470	3467	3894
471	3473	3885
472	3480	3877
473	3485	3868
474	3492	3860
475	3499	3852
476	3504	3842
477	3510	3833
478	3516	3824
479	3522	3815
480	3528	3807
481	3535	3799
482	3542	3791
483	3548	3782
484	3554	3774
485	3560	3765
486	3567	3758
487	3573	3748
488	3579	3741
489	3585	3731
490	3591	3723
491	3598	3715
492	3604	3706
493	3611	3699
494	3618	3691
495	3624	3682
496	3630	3674
497	3637	3666
498	3643	3657
499	3648	3648
500	3657	3642
501	3663	3633
502	3669	3625
503	3674	3616
504	3680	3607
505	3686	3598
506	3692	3590
507	3698	3582
508	3704	3573
509	3709	3564
510	3717	3557
511	3724	3550
512	3730	3541
513	3737	3533
514	3746	3528
515	3752	3519
516	3757	3510
517	3763	3501
518	3769	3493
519	3774	3484
520	3780	3476
521	3786	3467
522	3793	3459
523	3798	3450
524	3804	3442
525	3809	3433
526	3815	3424
527	3821	3416
528	3827	3407
529	3832	3398
530	3839	3391
531	3845	3383
532	3851	3374
533	3858	3367
534	3864	3358
535	3869	3349
536	3876	3342
537	3882	3334
538	3888	3326
539	3895	3318
540	3901	3309
541	3907	3301
542	3913	3293
543	3919	3285
544	3925	3277
545	3932	3270
546	3938	3261
547	3945	3254
548	3950	3245
549	3956	3237
550	3962	3228
551	3968	3220
552	3973	3212
553	3980	3204
554	3986	3196
555	3992	3188
556	3997	3179
557	4003	3171
558	4010	3164
559	4016	3155
560	4023	3148
561	4029	3140
562	4035	3132
563	4043	3125
564	4049	3117
565	4054	3109
566	4061	3101
567	4068	3094
568	4075	3087
569	4083	3080
570	4088	3072
571	4095	3064
572	4102	3056
573	4107	3048
574	4113	3040
575	4121	3033
576	4127	3025
577	4134	3018
578	4142	3012
579	4149	3005
580	4156	2997
581	4162	2989
582	4171	2983
583	4178	2976
584	4185	2968
585	4191	2961
586	4197	2953
587	4204	2946
588	4213	2939
589	4219	2932
590	4227	2925
591	4233	2917
592	4240	2910
593	4248	2903
594	4255	2896
595	4262	2889
596	4269	2881
597	4276	2874
598	4284	2868
599	4291	2860
600	4297	2853
601	4306	2847
602	4312	2839
603	4320	2832
604	4327	2825
605	4333	2817
606	4340	2810
607	4347	2803
608	4355	2796
609	4362	2789
610	4372	2783
611	4380	2777
612	4388	2770
613	4395	2763
614	4401	2755
615	4408	2748
616	4415	2740
617	4422	2733
618	4428	2725
619	4435	2718
620	4443	2711
621	4450	2704
622	4457	2697
623	4465	2690
624	4472	2683
625	4478	2675
626	4485	2668
627	4492	2661
628	4500	2654
629	4506	2646
630	4514	2640
631	4522	2633
632	4531	2627
633	4539	2620
634	4546	2613
635	4555	2607
636	4562	2599
637	4571	2593
638	4580	2587
639	4589	2581
640	4597	2575
641	4606	2569
642	4614	2562
643	4623	2555
644	4631	2549
645	4644	2544
646	4651	2537
647	4660	2531
648	4670	2526
649	4680	2520
650	4688	2513
651	4697	2507
652	4708	2501
653	4718	2496
654	4728	2490
655	4739	2485
656	4749	2479
657	4759	2473
658	4771	2469
659	4779	2462
660	4788	2455
661	4797	2449
662	4809	2444
663	4817	2437
664	4824	2430
665	4832	2423
666	4839	2416
667	4848	2409
668	4856	2403
669	4864	2396
670	4874	2390
671	4884	2383
672	4892	2376
673	4900	2370
674	4911	2364
675	4922	2359
676	4934	2354
677	4943	2347
678	4951	2340
679	4959	2333
680	4967	2326
681	4975	2319
682	4982	2312
683	4989	2305
684	4996	2297
685	5002	2289
686	5011	2283
687	5018	2275
688	5025	2268
689	5032	2261
690	5042	2254
691	5050	2248
692	5059	2241
693	5067	2234
694	5075	2227
695	5082	2220
696	5088	2212
697	5095	2204
698	5101	2196
699	5108	2189
700	5114	2181
701	5120	2173
702	5128	2166
703	5134	2158
704	5140	2151
705	5148	2143
706	5155	2136
707	5161	2128
708	5168	2121
709	5174	2113
710	5180	2105
711	5187	2098
712	5194	2091
713	5201	2083
714	5209	2076
715	5215	2068
716	5222	2061
717	5229	2053
718	5236	2046
719	5243	2039
720	5250	2031
721	5256	2024
722	5263	2016
723	5269	2008
724	5275	2001
725	5281	1993
726	5288	1985
727	5295	1978
728	5301	1970
729	5307	1963
730	5313	1955
731	5319	1947
732	5327	1940
733	5334	1933
734	5341	1925
735	5347	1918
736	5354	1910
737	5360	1903
738	5367	1895
739	5374	1888
740	5380	1880
741	5386	1872
742	5392	1865
743	5398	1857
744	5405	1850
745	5410	1842
746	5417	1834
747	5424	1827
748	5430	1819
749	5436	1812
750	5442	1804
751	5450	1797
752	5458	1790
753	5465	1783
754	5471	1775
755	5477	1767
756	5484	1760
757	5491	1753
758	5498	1745
759	5504	1738
760	5511	1730
761	5517	1723
762	5524	1715
763	5531	1708
764	5538	1701
765	5544	1693
766	5551	1686
767	5558	1679
768	5565	1671
769	5572	1664
770	5578	1657
771	5584	1649
772	5590	1641
773	5597	1634
774	5602	1626
775	5611	1619
776	5617	1612
777	5624	1604
778	5633	1598
779	5639	1590
780	5646	1583
781	5652	1575
782	5659	1568
783	5665	1560
